OBJECTID,WSSN,SYSTEM,TYPE,APPROVAL_D,michiganWE,ShapeSTAre,ShapeSTLen,ORIG_FID,POINT_X,POINT_Y
48,03200,Holly,Traditional Wellhead Protection Area Delineation,5/29/2001,,13188458.025300000000000,15954.434677900000000,47,-83.61987216910,42.78783856060
49,01420,Clare,Traditional Wellhead Protection Area Delineation,1/9/2001,,5194797.480880000000000,9101.763844140000000,48,-84.78641602170,43.81470209560
50,05650,Reed City,Traditional Wellhead Protection Area Delineation,1/22/2001,,4412627.537050000000000,8941.046416600000000,49,-85.52755092140,43.87947774130
51,03420,Ironwood,Traditional Wellhead Protection Area Delineation,2/5/2001,,712675.830567000000000,6585.525308820000000,50,-90.15799472580,46.51487543680
52,03420,Ironwood,Traditional Wellhead Protection Area Delineation,2/5/2001,,223598.141514000000000,3378.461729590000000,51,-90.22489256890,46.50789265230
53,05930,Saranac,Traditional Wellhead Protection Area Delineation,11/28/2000,,14019503.177400000000000,17718.732252400000000,52,-85.21555621440,42.90074507260
54,04177,Mattawan,Traditional Wellhead Protection Area Delineation,11/21/2000,,2710009.671470000000000,5895.075345750000000,53,-85.79363215020,42.22900814130
55,04177,Mattawan,Traditional Wellhead Protection Area Delineation,11/21/2000,,2453275.117510000000000,7738.668185560000000,54,-85.76882872360,42.21771399610
56,06940,Wayland,Traditional Wellhead Protection Area Delineation,10/15/1996,,4805602.765680000000000,8269.853892560000000,55,-85.62851365500,42.65919086210
57,06940,Wayland,Traditional Wellhead Protection Area Delineation,10/15/1996,,2894459.002970000000000,6081.438736830000000,56,-85.64518396680,42.67238226500
58,00120,Allegan,Traditional Wellhead Protection Area Delineation,11/28/2000,,8824015.883220000000000,17819.225842300000000,57,-85.81203575020,42.53751897630
59,00120,Allegan,Traditional Wellhead Protection Area Delineation,11/28/2000,,10868766.454000000000000,20784.338376100000000,58,-85.88114606280,42.50893269480
60,,Carriage Club,Traditional Wellhead Protection Area Delineation,6/29/2000,,16697160.229700000000000,16522.995600300000000,59,-83.61502043180,42.47671504670
61,04020,Manchester,Traditional Wellhead Protection Area Delineation,10/17/2000,,2586527.446290000000000,6544.987172000000000,60,-84.03814821180,42.15825265790
62,02347,"Fonda, Island, Briggs Lakes JWA",Traditional Wellhead Protection Area Delineation,10/5/2000,,5720496.278420000000000,9000.401826929990000,61,-83.72820268180,42.51632675640
63,06800,Vicksburg,Traditional Wellhead Protection Area Delineation,10/28/2002,,2638628.782390000000000,5823.891668180000000,62,-85.54607592940,42.12600879980
64,04030,Manistee,Traditional Wellhead Protection Area Delineation,7/29/1996,,6857130.068220000000000,15027.910176400000000,63,-86.32717391080,44.21693844090
65,02290,Filer Twp.,Traditional Wellhead Protection Area Delineation,7/29/1996,,5305648.583600000000000,13047.646256700000000,64,-86.31171246450,44.20800864090
66,02600,Gaylord,Traditional Wellhead Protection Area Delineation,9/16/1992,,5721389.333200000000000,10178.666556800000000,65,-84.69370836190,45.02831573650
67,02600,Gaylord,Traditional Wellhead Protection Area Delineation,9/16/1992,,6657440.113870000000000,11508.984783800000000,66,-84.68494872790,45.02297451830
68,02600,Gaylord,Traditional Wellhead Protection Area Delineation,9/16/1992,,2701150.207750000000000,7166.664595310000000,67,-84.69907533960,45.01060065940
69,03550,Kaleva,Traditional Wellhead Protection Area Delineation,7/29/1996,,8889138.226560000000000,11103.881593700000000,68,-86.00218554180,44.37174567870
70,03450,Ishpeming-Negaunee,Traditional Wellhead Protection Area Delineation,11/16/1999,,15824077.591100000000000,15795.253060900000000,69,-87.70624273800,46.49098574480
71,03450,Ishpeming-Negaunee,Traditional Wellhead Protection Area Delineation,11/16/1999,,4173643.657350000000000,9053.025674530000000,70,-87.68081885150,46.50890246590
72,04640,Tilden Twp.,Traditional Wellhead Protection Area Delineation,11/16/1999,,1914956.233990000000000,7623.604473620000000,71,-87.68126254990,46.45368066900
73,02860,Ely Twp.,Traditional Wellhead Protection Area Delineation,11/16/1999,,3534360.480200000000000,7946.192542440000000,72,-87.75832744600,46.48566977430
74,03968,Tanglewood,Traditional Wellhead Protection Area Delineation,4/14/1999,,1367818.141150000000000,4995.519299400000000,73,-83.57164183920,42.45903556510
75,05050,Otisville,Traditional Wellhead Protection Area Delineation,8/24/1998,,1905535.416820000000000,5348.978290720000000,74,-83.52846434730,43.16184835020
76,00260,Athens,Traditional Wellhead Protection Area Delineation,6/30/2000,,7510695.819450000000000,11060.062577100000000,75,-85.22142742690,42.08288941820
77,00430,Barton Hills,Traditional Wellhead Protection Area Delineation,1/16/1996,,36036498.021500000000000,24444.354797100000000,76,-83.73974801130,42.34432731160
78,04760,Pennfield Twp.,Traditional Wellhead Protection Area Delineation,1/27/2000,,13390799.393900000000000,17734.477884000000000,77,-85.16666011940,42.37873740310
79,00910,Bronson,Traditional Wellhead Protection Area Delineation,12/11/1996,,10462321.448100000000000,12499.686417300000000,78,-85.17113746780,41.87541381850
80,00960,Buchanan,Traditional Wellhead Protection Area Delineation,12/9/1996,,2155741.107880000000000,5832.244933930000000,79,-86.36865310640,41.81603617100
81,06560,Tecumseh,Traditional Wellhead Protection Area Delineation,9/24/1997,,7321908.330590000000000,11007.381627300000000,80,-83.95519049710,42.03274038550
82,06560,Tecumseh,Traditional Wellhead Protection Area Delineation,9/24/1997,,6851956.116690000000000,10985.674254500000000,81,-83.96755923840,41.99976837770
83,01310,Centreville,Traditional Wellhead Protection Area Delineation,1/19/2000,,4876570.481810000000000,10833.165592000000000,82,-85.51861031700,41.90674138850
84,01340,Charlotte,Traditional Wellhead Protection Area Delineation,8/2/1999,,4891013.537390000000000,10161.295559900000000,83,-84.82707853470,42.54704761340
85,01500,Coldwater,Traditional Wellhead Protection Area Delineation,7/13/1994,,14811365.179100000000000,18173.574963500000000,84,-84.96568878060,41.92161574500
86,02020,Eaton Rapids,Traditional Wellhead Protection Area Delineation,7/13/2000,,3764097.047340000000000,11208.381779000000000,85,-84.66622203500,42.52373548160
87,02100,Elkton,Traditional Wellhead Protection Area Delineation,3/24/1997,,845906.031708000000000,3306.129121030000000,86,-83.17114436320,43.81693660400
88,02100,Elkton,Traditional Wellhead Protection Area Delineation,3/24/1997,,323725.455538000000000,2152.786193870000000,87,-83.18437593840,43.81970275560
89,02100,Elkton,Traditional Wellhead Protection Area Delineation,3/24/1997,,374130.514618000000000,2260.638075840000000,88,-83.17630374140,43.82341231740
90,02100,Elkton,Traditional Wellhead Protection Area Delineation,3/24/1997,,459842.425842000000000,2479.034334720000000,89,-83.17909803690,43.81038707150
91,02400,Fowlerville,Traditional Wellhead Protection Area Delineation,9/9/1999,,3130224.491340000000000,6381.504532700000000,90,-84.07304288670,42.66584075570
92,02400,Fowlerville,Traditional Wellhead Protection Area Delineation,9/9/1999,,2982912.450250000000000,6164.077094780000000,91,-84.06016733890,42.65711812530
93,02740,Grand Blanc,Traditional Wellhead Protection Area Delineation,2/15/1996,,584703.043578000000000,3044.234372510000000,92,-83.62675331920,42.93492613030
94,02740,Grand Blanc,Traditional Wellhead Protection Area Delineation,2/15/1996,,2596965.428760000000000,6516.675464070000000,93,-83.59775664410,42.93026905890
95,02740,Grand Blanc,Traditional Wellhead Protection Area Delineation,2/15/1996,,5655229.718940000000000,10623.924346000000000,94,-83.58790585270,42.91018507120
96,02740,Grand Blanc,Traditional Wellhead Protection Area Delineation,2/15/1996,,1416840.929900000000000,7420.406110830000000,95,-83.62153726930,42.92243943550
97,02740,Grand Blanc,Traditional Wellhead Protection Area Delineation,2/15/1996,,2624612.302560000000000,7579.575169760000000,96,-83.62361325120,42.91012532610
98,02850,Greenville,Traditional Wellhead Protection Area Delineation,2/4/1994,,17319403.737400000000000,15921.040653200000000,97,-85.24178579100,43.18171555430
99,03070,Hartford,Traditional Wellhead Protection Area Delineation,12/10/1996,,922097.292015000000000,3995.581183900000000,98,-86.15301439390,42.20585412330
100,03170,Hillsdale,Traditional Wellhead Protection Area Delineation,1/7/1997,,5859225.669260000000000,16990.551333800000000,99,-84.62420422950,41.94356638660
101,03280,Hudson,Traditional Wellhead Protection Area Delineation,4/2/1998,,6424594.187880000000000,11394.781874300000000,100,-84.37562573780,41.86495228190
102,03525,Kalamazoo Lake SWA,Traditional Wellhead Protection Area Delineation,6/26/2000,,8913295.344790000000000,12506.891796000000000,101,-86.18455691230,42.66247592220
103,03525,Kalamazoo Lake SWA,Traditional Wellhead Protection Area Delineation,6/26/2000,,5427351.192520000000000,9602.767096530000000,102,-86.20582441820,42.63502066690
104,03730,Lake Odessa,Traditional Wellhead Protection Area Delineation,7/8/1997,,2744992.450210000000000,6678.111222740000000,103,-85.11981093500,42.79656967130
105,03820,Lawrence,Traditional Wellhead Protection Area Delineation,2/6/1997,,18141256.482600000000000,17566.184111500000000,104,-86.05056609100,42.19740975170
106,03830,Lawton,Traditional Wellhead Protection Area Delineation,2/6/1996,,3076927.018910000000000,10365.185199000000000,105,-85.83938597040,42.16975543730
107,03830,Lawton,Traditional Wellhead Protection Area Delineation,2/6/1996,,1871547.768020000000000,6341.342146140000000,106,-85.83994840990,42.16094324160
108,06790,Vermontville,Traditional Wellhead Protection Area Delineation,4/18/2000,,9307948.313940000000000,11388.587512300000000,107,-85.02407269480,42.62990249370
109,03920,Litchfield,Traditional Wellhead Protection Area Delineation,11/23/1999,,5844351.484310000000000,8602.509160490000000,108,-84.74954051880,42.05065806550
110,04150,Marshall,Traditional Wellhead Protection Area Delineation,4/9/1998,,18387776.892100000000000,23229.931684700000000,109,-84.95348407550,42.30553432700
111,04230,Memphis,Traditional Wellhead Protection Area Delineation,10/16/1998,,8377805.302880000000000,10376.255916500000000,110,-82.77649242930,42.90164921060
112,04490,Morenci,Traditional Wellhead Protection Area Delineation,2/27/1997,,13040289.548400000000000,14317.263511900000000,111,-84.23356710260,41.73413264880
113,04620,Nashville,Traditional Wellhead Protection Area Delineation,4/18/2000,,7329436.531060000000000,15654.544569100000000,112,-85.07595788390,42.59190615260
114,04750,Niles Twp.,Traditional Wellhead Protection Area Delineation,12/9/1996,,562529.676209000000000,3680.843361680000000,113,-86.22931932430,41.78168242200
115,04740,Niles,Traditional Wellhead Protection Area Delineation,2/28/1997,,7174266.533710000000000,14180.584232200000000,114,-86.23210275940,41.84184246280
116,04740,Niles,Traditional Wellhead Protection Area Delineation,2/28/1997,,1994138.221470000000000,7869.300483810000000,115,-86.22126491940,41.82831127260
117,04740,Niles,Traditional Wellhead Protection Area Delineation,2/28/1997,,4365324.594030000000000,9294.123844410000000,116,-86.23642195750,41.80998860110
118,04740,Niles,Traditional Wellhead Protection Area Delineation,2/28/1997,,1590242.954360000000000,5667.041224800000000,117,-86.28571457480,41.82029984900
119,04740,Niles,Traditional Wellhead Protection Area Delineation,2/28/1997,,2906980.462490000000000,7494.588351910000000,118,-86.30131229750,41.80287043330
120,05060/05065,Otsego/Otsego Twp.,Traditional Wellhead Protection Area Delineation,6/24/2002,,11884095.074600000000000,14435.046221100000000,119,-85.67924701140,42.44057467000
121,05200,Parchment,Traditional Wellhead Protection Area Delineation,1/2/1992,,4725698.778980000000000,11919.990881800000000,120,-85.55991043570,42.33739601770
122,05210,Paw Paw,Traditional Wellhead Protection Area Delineation,9/3/1996,,3825720.591130000000000,8301.040964060000000,121,-85.91026968220,42.19974625840
123,05320,Pigeon,Traditional Wellhead Protection Area Delineation,1/3/1993,,1366737.186390000000000,4180.231943170000000,122,-83.28667246930,43.82798853620
124,05320,Pigeon,Traditional Wellhead Protection Area Delineation,1/3/1993,,759457.247681000000000,3122.169527610000000,123,-83.27418693780,43.83197016800
125,05320,Pigeon,Traditional Wellhead Protection Area Delineation,1/3/1993,,289335.005930000000000,1933.194956050000000,124,-83.25969694950,43.82884834790
126,05320,Pigeon,Traditional Wellhead Protection Area Delineation,1/3/1993,,457938.747151000000000,2425.884006810000000,125,-83.26857026510,43.82305411340
127,05530,Portland,Traditional Wellhead Protection Area Delineation,6/6/2000,,17861583.663300000000000,22442.781462300000000,126,-84.93998982300,42.86068586040
128,05580,Quincy,Traditional Wellhead Protection Area Delineation,12/7/1999,,3138395.881280000000000,10486.630889100000000,127,-84.86308082290,41.93923257070
129,05620,Reading,Traditional Wellhead Protection Area Delineation,1/30/1998,,5282319.250720000000000,8550.168905660000000,128,-84.74551959660,41.80270571200
130,05670,Richmond,Traditional Wellhead Protection Area Delineation,9/15/1996,,17368868.987400000000000,22047.435967800000000,129,-82.75368960900,42.81506868000
131,05900,Saline,Traditional Wellhead Protection Area Delineation,6/1/2000,,10370592.644900000000000,15945.184657600000000,130,-83.79154440270,42.19510222380
132,06000,Shelby,Traditional Wellhead Protection Area Delineation,4/3/1996,,2251433.193770000000000,9988.212248060000000,131,-86.34104038010,43.61920100040
133,06000,Shelby,Traditional Wellhead Protection Area Delineation,4/3/1996,,8580794.344190000000000,15715.544727800000000,132,-86.33433410300,43.61741280120
134,06000,Shelby,Traditional Wellhead Protection Area Delineation,4/3/1996,,2303069.022180000000000,13804.038780300000000,133,-86.33506641970,43.60480907780
135,06110,South Lyon,Traditional Wellhead Protection Area Delineation,3/25/1998,,4396309.457650000000000,8123.824691330000000,134,-83.65100320030,42.46074803220
136,06200,Sparta,Traditional Wellhead Protection Area Delineation,7/9/1999,,25277296.523400000000000,20982.398007600000000,135,-85.73797965050,43.13832064220
137,06440,Sturgis,Traditional Wellhead Protection Area Delineation,10/12/1998,,19771913.336500000000000,22183.721945500000000,136,-85.39604936180,41.79976178020
138,03370,Ionia,Traditional Wellhead Protection Area Delineation,9/12/2000,,35373608.504900000000000,25772.008906000000000,137,-85.08133904700,43.02230779910
139,02490,Fremont,Traditional Wellhead Protection Area Delineation,8/16/2000,,13227075.645200000000000,14837.369305100000000,138,-85.94919572540,43.49226184220
140,02490,Fremont,Traditional Wellhead Protection Area Delineation,8/16/2000,,4893155.249350000000000,11345.204023500000000,139,-85.91373620670,43.47481959830
141,02070,Edmore,Traditional Wellhead Protection Area Delineation,8/18/2000,,3137890.798490000000000,6323.845786190000000,140,-85.04321892750,43.39974174270
142,00450,Battle Creek,Traditional Wellhead Protection Area Delineation,7/20/2000,,67960148.037800000000000,33563.851047100000000,141,-85.12595988690,42.34919870140
143,03560,Kalkaska,Traditional Wellhead Protection Area Delineation,8/24/2000,,5688458.463020000000000,16078.436196400000000,142,-85.16781655950,44.72170197840
144,04190,McBain,Traditional Wellhead Protection Area Delineation,11/14/2000,,9763914.975650000000000,11477.040249400000000,143,-85.22092678260,44.18912466160
145,01900,Durand,Traditional Wellhead Protection Area Delineation,11/20/2000,,18689744.635300000000000,31149.699159900000000,144,-83.97153635980,42.92232836250
146,00380,Bangor,Traditional Wellhead Protection Area Delineation,11/6/2000,,47995909.070000000000000,32084.150813100000000,145,-86.09672584010,42.30298115650
147,02260,Fennville,Traditional Wellhead Protection Area Delineation,12/6/2000,,8712672.427890000000000,11518.812064600000000,146,-86.11650583180,42.58935452260
148,02260,Fennville,Traditional Wellhead Protection Area Delineation,12/6/2000,,3351120.178380000000000,7131.234318520000000,147,-86.08775069100,42.60348267970
149,04380,Milan,Traditional Wellhead Protection Area Delineation,12/13/2000,,28108096.885100000000000,23939.412097300000000,148,-83.70070121670,42.09126858940
150,06930,Watervliet,Traditional Wellhead Protection Area Delineation,4/2/2001,,1846330.810660000000000,6680.938217920000000,149,-86.25695027500,42.19833546320
151,06930,Watervliet,Traditional Wellhead Protection Area Delineation,4/2/2001,,5719444.881390000000000,8641.536199500000000,150,-86.25234634740,42.18427639170
152,04098,MHOG SWATH,Traditional Wellhead Protection Area Delineation,12/20/1996,,25377416.468000000000000,18346.834183300000000,151,-84.00139512270,42.58592371740
153,03250,Howell,Traditional Wellhead Protection Area Delineation,4/27/2001,,12275862.520800000000000,12757.395492700000000,152,-83.96634151570,42.58832503220
154,03250,Howell,Traditional Wellhead Protection Area Delineation,4/27/2001,,2350067.729990000000000,5674.918353370000000,153,-83.92850023990,42.59229816530
155,02077,Edwardsburg,Traditional Wellhead Protection Area Delineation,10/25/2001,,6689484.204750000000000,11734.508299200000000,154,-86.09166787110,41.80286570900
156,01750,Decatur,Traditional Wellhead Protection Area Delineation,10/23/2001,,12581658.242200000000000,12822.834040900000000,155,-85.95835045890,42.10666080260
157,04060,Maple Rapids,Traditional Wellhead Protection Area Delineation,10/25/2001,,8318109.868090000000000,11291.739413300000000,156,-84.68883051510,43.09729881240
158,00700,Powell Twp.,Traditional Wellhead Protection Area Delineation,9/12/2001,,3924773.795460000000000,9173.215152870000000,157,-87.74678629020,46.80632045150
159,00320,Augusta,Traditional Wellhead Protection Area Delineation,9/12/2001,,11045177.528200000000000,18483.698135200000000,158,-85.37242744110,42.35353470660
160,02680,Gobles,Traditional Wellhead Protection Area Delineation,11/2/2001,,4275198.990430000000000,8238.240564360000000,159,-85.86122934310,42.36243158400
161,07065,White Lake Twp.,Traditional Wellhead Protection Area Delineation,11/28/2001,,15585309.164700000000000,21087.103688300000000,160,-83.45331158660,42.65059955350
162,07065,White Lake Twp.,Traditional Wellhead Protection Area Delineation,11/28/2001,,716515.944247000000000,3387.259950890000000,161,-83.47824843280,42.65380337960
163,07065,White Lake Twp.,Traditional Wellhead Protection Area Delineation,11/28/2001,,4205768.326410000000000,10572.433168900000000,162,-83.54044519380,42.67417418400
164,00350,Baldwin,Traditional Wellhead Protection Area Delineation,12/7/2004,,1812074.463130000000000,6235.920182660000000,163,-85.85047165240,43.90334586860
165,00350,Baldwin,Traditional Wellhead Protection Area Delineation,11/2/2001,,2841585.112830000000000,6597.987596830000000,164,-85.86465304510,43.88999314420
166,04530,Mt. Pleasant- Broomfield,Traditional Wellhead Protection Area Delineation,10/30/2001,,6182812.589670000000000,11405.307021700000000,165,-84.78789738010,43.56773751550
167,04530,Mt. Pleasant- Deerfield,Traditional Wellhead Protection Area Delineation,10/30/2001,,8028789.019410000000000,12726.058305400000000,166,-84.77949669810,43.55906352040
168,04530,Mt. Pleasant- West,Traditional Wellhead Protection Area Delineation,10/30/2001,,6560688.704480000000000,16004.578139100000000,167,-84.81762354040,43.57888744800
169,03630,Kinross Twp.,Traditional Wellhead Protection Area Delineation,4/1/2002,,2574097.399040000000000,5758.231591540000000,168,-84.46981724720,46.26351117570
170,03630,Kinross Twp.,Traditional Wellhead Protection Area Delineation,4/1/2002,,2779455.028380000000000,6064.768449330000000,169,-84.44818963490,46.27545931510
171,02770,Grand Ledge,Traditional Wellhead Protection Area Delineation,4/29/2002,,14611481.710700000000000,14013.127909300000000,170,-84.74779966310,42.73222681220
172,03695,Lake Bella Vista,Traditional Wellhead Protection Area Delineation,4/30/2002,,7348839.999360000000000,10026.090253300000000,171,-85.49515266850,43.09804493060
173,05590,Breitung Twp.,Traditional Wellhead Protection Area Delineation,7/19/2002,,654450.361858000000000,3485.748871350000000,172,-88.00814195810,45.80565482560
174,05590,Breitung Twp.,Traditional Wellhead Protection Area Delineation,7/19/2002,,1114235.848980000000000,4818.888653640000000,173,-87.98735136780,45.80634761150
175,03010,Harbor Springs,Traditional Wellhead Protection Area Delineation,11/8/2002,,50822862.404600000000000,31903.052691500000000,174,-84.96964641610,45.46631265310
176,02080,Elberta,Traditional Wellhead Protection Area Delineation,11/4/2002,,6426893.769160000000000,12040.385091000000000,175,-86.21224902260,44.63424993210
177,02080,Elberta,Traditional Wellhead Protection Area Delineation,11/4/2002,,6757779.843380000000000,15602.858679900000000,176,-86.20529406570,44.61296681790
178,01540,Colon,Traditional Wellhead Protection Area Delineation,12/19/2002,,11483274.512300000000000,13961.695248800000000,177,-85.30980463670,41.95478722090
179,03230,Houghton,Traditional Wellhead Protection Area Delineation,11/27/2002,,1060083.131440000000000,4147.173543950000000,178,-88.53131330520,47.11044528320
180,02823,Grant,Traditional Wellhead Protection Area Delineation,12/12/2002,,14227411.395100000000000,15497.458361500000000,179,-85.78569211720,43.33248041870
181,00890,Britton,Traditional Wellhead Protection Area Delineation,12/12/2002,,5034846.406040000000000,9508.318632310000000,180,-83.84933253220,41.99124498670
182,00890,Britton,Traditional Wellhead Protection Area Delineation,12/12/2002,,1348065.964140000000000,4463.783756230000000,181,-83.83541256520,41.99786675250
183,00100,Albion,Traditional Wellhead Protection Area Delineation,12/17/2002,,23723783.850300000000000,20898.920845600000000,182,-84.75309042000,42.26608079010
184,03760,Lansing Board of Water and Light (TCRPC),Traditional Wellhead Protection Area Delineation,9/4/1997,,17608442.801500000000000,15499.152962500000000,183,-84.64155473220,42.68039744500
