OBJECTID,ENTITYID,ENTITYCD,COMMONNM,OFFICIALNM,NAMEUPDT,ENTTYPEID,ENTTYPENM,OPENDATE,CLOSEDATE,STATUS,AUTHGRADES,ACTGRADES,GRADESUPDT,AUTHEDSET,ACTEDSET,EDSETUPDT,ADDRESSID,ADDRTYPEID,STREET,ADDRLINE2,CITY,STATE,ZIP,ADDRUPDT,GEOCODE,CGISTATID,CGISTATDT,XLOCATION,YLOCATION,LATITUDE,LONGITUDE,MIHOUSE,MISENATE,USCONGRESS,BLKGRP,CIVILDIV,FIPSCNTY,COUNTY,DISTCODE,IGNOREFLAG,ROOFTOP,x,y
77,1174,5966, ,Cramer Junior High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-May,8-May,2-Jul-13,"GenEd,Alt,SpecEd,SchlChoice,BSAS,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,BSAS,SuppVirt",7-Mar-21,50159,2,313 PINE ST, ,ESSEXVILLE,MI,48732-1584,3-Apr-22, ,2,22-Mar-22,674656.8433,341840.4049,43.607052,-83.833716,96,31,5,2851002,26420,17,Bay,13530,0,Y,-9332326.576,5404832.586
78,1188,1298, ,Frankfort Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-6","KG,1-6",14-Jul-13,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",21-Mar-21,50238,2,613 LEELANAU AVE, ,FRANKFORT,MI,49635-9348,3-Apr-22, ,2,22-Mar-22,481150.9914,453746.7077,44.6351,-86.23564,101,35,1,4001,30260,19,Benzie,14790,0,Y,-9599707.533,5564257.22
80,1199,3502, ,Martin Luther King Jr. Elementary,10-Jan-21,18,LEA School,"December 31, 1899",,Open-Active,3-Jan,3-Jan,2-Jul-18,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",16-Aug-20,50254,2,750 E BRITAIN AVE, ,BENTON HARBOR,MI,49022-4118,3-Apr-22, ,2,22-Mar-22,465435.3541,174677.192,42.122108,-86.416892,79,21,6,23002,7400,21,Berrien,4830,0,Y,-9619884.413,5179288.216
81,1213,2211, ,Lincoln School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",7-Dec-14,"GenEd,PK,SpecEd,SchlChoice","GenEd,PK,SpecEd,SchlChoice",25-Sep-22,50272,2,1102 ORCHARD AVE, ,SAINT JOSEPH,MI,49085-2114,3-Apr-22, ,2,22-Mar-22,460293.4982,171525.211,42.093511,-86.478879,79,21,6,10001,70960,21,Berrien,32850,0,Y,-9626784.775,5174997.247
82,1238,298, ,Mars Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-2","DevK,KG,1-2",18-May-20,"Alt, GenEd, PK, SchlChoice, SpecEd","Alt, GenEd, PK, SchlChoice, SpecEd",11-Apr-10,50345,2,1 SYLVESTER AVE, ,BERRIEN SPRINGS,MI,49103-1126,3-Apr-22, ,2,22-Mar-22,471491.245,155043.0105,41.945548,-86.34283,78,21,6,214002,61180,21,Berrien,5430,0,Y,-9611639.869,5152826.285
84,1263,4733, ,Coloma Intermediate School,12-Jul-15,18,LEA School,"December 31, 1899",,Open-Active,5-Apr,5-Apr,30-Jun-14,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",3-Sep-20,50284,2,274A S WEST ST, ,COLOMA,MI,49038-9511,3-Apr-22, ,2,22-Mar-22,474387.0909,181288.4439,42.181935,-86.30888,79,21,6,102007,17320,21,Berrien,10380,0,Y,-9607860.573,5188271.505
85,1281,744, ,Coldwater High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",7-Mar-21,50375,2,275 N FREMONT ST, ,COLDWATER,MI,49036-1206,3-Apr-22, ,2,22-Mar-22,581852.1507,156028.6315,41.950045,-85.011536,58,16,7,9515002,17020,23,Branch,10140,0,Y,-9463440.899,5153499.362
89,1349,4483, ,Westlake Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-4","KG,1-4",9-Nov-09,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",23-Mar-21,50462,2,1184 24TH ST S, ,BATTLE CREEK,MI,49015-2811,3-Apr-22, ,2,22-Mar-22,563413.8088,193343.7232,42.287895,-85.229637,62,19,3,15001,5920,25,Calhoun,20850,0,Y,-9487719.791,5204202.752
91,1388,5140, ,Kincheloe Elementary School,5-Oct-08,18,LEA School,31-Aug-69,,Open-Active,"KG,1-5","KG,1-5",29-Aug-12,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",15-Dec-20,50477,2,25121 GAGE ST, ,DOWAGIAC,MI,49047-9624,3-Apr-22, ,2,22-Mar-22,495602.5367,163174.9533,42.019142,-86.052033,59,21,6,20001,84920,27,Cass,12150,0,Y,-9579268.495,5163847.254
93,1413,595, ,Boyne City Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-4","KG,1-4",23-Jul-15,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",29-Nov-17,50873,2,930 BROCKWAY ST, ,BOYNE CITY,MI,49712-9103,3-Apr-22, ,2,22-Mar-22,578419.7999,517889.192,45.20837,-84.99935,105,37,1,13001,9820,29,Charlevoix,6500,0, ,-9462084.36,5654384.945
94,1438,4577, ,Wolverine Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-6","KG,1-5",21-Aug-20,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",26-Sep-20,50901,2,5993 W SHOLES ST, ,WOLVERINE,MI,49799-9549,3-Apr-22, ,2,22-Mar-22,608880.6515,525280.862,45.270843,-84.609929,106,37,1,9608003,59500,31,Cheboygan,36480,0,Y,-9418734.212,5664261.431
96,1463,697, ,Clare High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",17-Sep-20,50933,2,306 SCHOOLCREST AVE, ,CLARE,MI,48617-1155,3-Apr-22, ,2,22-Mar-22,599313.9221,364466.1577,43.824741,-84.762965,97,33,4,6002,15920,35,Clare,9750,0,Y,-9435770.102,5438360.386
98,1506,1161, ,Eureka School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",16-Jul-12,"GenEd,PK,Alt,SpecEd,SchlChoice,SuppVirt","GenEd,PK,Alt,SpecEd,SchlChoice,SuppVirt",7-Mar-21,50975,2,7500 N WELLING RD, ,SAINT JOHNS,MI,48879-9433,3-Apr-22, ,2,22-Mar-22,620891.7782,283991.6032,43.097003,-84.512747,93,24,4,107012,34840,37,Clinton,32820,0,Y,-9407915.962,5326748.367
100,1531,3151, ,Tri-Township School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG-Part, 1-12","KG-Part, 1-12",17-Dec-08,"GenEd,Alt,SpecEd,SchlChoice,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,SuppVirt",23-Sep-20,51007,2,10070 US HIGHWAY 2, ,RAPID RIVER,MI,49878-9511,3-Apr-22, ,2,22-Mar-22,428014.5209,596272.3833,45.914539,-86.926179,108,38,1,9702001,52220,41,Delta,29340,0,Y,-9676577.983,5766664.596
102,1574,8351, ,Willow Ridge Elementary School,5-Oct-08,18,LEA School,25-Mar-96,,Open-Active,"DevK,KG,1-4","DevK,KG,1-4",14-Oct-21,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",7-Mar-21,51055,2,12840 NIXON RD, ,GRAND LEDGE,MI,48837-9412,3-Apr-22, ,2,22-Mar-22,606313.0076,245623.5308,42.753763,-84.699328,71,24,7,203022,21520,45,Eaton,16410,0,Y,-9428686.064,5274566.852
103,1588,2170, ,Potterville Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK, KG, 1-4","DevK, KG, 1-4",29-Nov-09,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",13-Aug-20,51067,2,426 N HIGH ST, ,POTTERVILLE,MI,48876-9605,3-Apr-22, ,2,22-Mar-22,603491.7399,231924.9142,42.630811,-84.736375,71,24,7,206012,66100,45,Eaton,29160,0,Y,-9432810.117,5255945.285
104,1599,3017, ,Petoskey High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,SchlChoice,Tuit,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,Tuit,SuppVirt",23-Sep-20,51213,2,1500 HILL ST, ,PETOSKEY,MI,49770-2782,3-Apr-22, ,2,22-Mar-22,583131.7435,536034.1451,45.371137,-84.936315,107,37,1,9707003,63820,47,Emmet,27930,0,Y,-9455067.336,5680139.879
120,264,8210, ,Concord Academy - Petoskey,16-Jul-14,26,PSA School,30-Mar-95,,Open-Active,"DevK,KG,1-12","DevK,KG,1-12",24-Sep-18,"GenEd,Alt,SpecEd","GenEd,Alt,SpecEd",12-Mar-20,53282,2,2468 ATKINS RD, ,PETOSKEY,MI,49770-9003,3-Apr-22, ,2,22-Mar-22,584373.1878,535127.1535,45.36283,-84.92062,107,37,1,9706001,6380,47,Emmet,27930,0, ,-9453320.176,5678823.655
122,298,8642, ,Paramount Charter Academy,5-Oct-08,26,PSA School,31-Aug-98,,Open-Active,"KG,KG-Part,1-8","KG,1-8",12-Nov-12,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",20-Jul-17,54251,2,3624 S WESTNEDGE AVE, ,KALAMAZOO,MI,49008-2969,3-Apr-22, ,2,22-Mar-22,533738.0417,189506.0357,42.25533,-85.5898,60,20,6,17011,42160,77,Kalamazoo,19950,0, ,-9527812.953,5199303.707
123,315,8719, ,Chandler Woods Charter Academy,5-Oct-08,26,PSA School,31-Aug-99,,Open-Active,"KG,1-8","KG,1-8",12-Nov-12,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",30-Jun-16,54685,2,6895 SAMRICK AVE NE, ,BELMONT,MI,49306-8844,3-Apr-22, ,2,22-Mar-22,530054.911,281827.611,43.08683,-85.629082,73,28,3,111021,64660,81,Kent,10620,0,Y,-9532185.805,5325197.611
124,332,8221, ,Nah Tah Wahsh Public School Academy,5-Oct-08,26,PSA School,27-Apr-95,,Open-Active,"KG,1-12","KG,1-12",3-Mar-09,"Alt, GenEd, SpecEd","Alt, GenEd, SpecEd",8-Jul-10,54875,2,14911 HANNAHVILLE B1 RD, ,WILSON,MI,49896,19-Jul-15, ,2,6-Jun-10,394908.1204,568219.848,45.65785,-87.3469,108,38,1,9602001,36760,109,MENOMINEE,4020,0, ,-9723412.43,5725687.953
125,349,8702, ,Dr. Joseph F. Pollack Academic Center of Excellence,13-Dec-09,26,PSA School,31-Aug-99,,Open-Active,"KG-Part, 1-8","KG-Part, 1-8",8-Jan-09,"GenEd, SpecEd","GenEd, SpecEd",20-May-09,55507,2,23777 SOUTHFIELD RD, ,SOUTHFIELD,MI,48075-3458,3-Apr-22, ,2,22-Mar-22,728331.1223,216530.5371,42.464866,-83.220894,35,11,14,1620002,74900,125,Oakland,32310,0,Y,-9264107.543,5230870.487
126,366,8740, ,North Saginaw Charter Academy,5-Oct-08,26,PSA School,31-Aug-99,,Open-Active,"KG, 1-8","KG, 1-8",22-Jan-09,"GenEd,SpecEd","GenEd,SpecEd",18-Nov-13,55670,2,2332 TRAUTNER DR, ,SAGINAW,MI,48604-9593,3-Apr-22, ,2,22-Mar-22,664616.2066,327990.8766,43.4847,-83.96232,95,32,4,102002,43800,145,Saginaw,30390,0, ,-9346642.708,5386041.558
127,383,8255, ,Plymouth Educational Center,5-Oct-08,26,PSA School,4-Sep-95,,Open-Active,"KG,1-8","KG,1-8",8-Sep-15,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",27-Sep-21,56119,2,1460 E FOREST AVE, ,DETROIT,MI,48207-1000,3-Apr-22, ,2,22-Mar-22,742879.3279,205375.296,42.35999,-83.048843,4,1,13,5189001,22000,163,Wayne,1103,0,Y,-9244954.914,5215057.668
129,417,8489, ,Detroit Academy of Arts and Sciences,5-Oct-08,26,PSA School,1-Sep-97,,Open-Active,"KG-Part,1-5","KG-Part,1-5",18-Dec-11,"Alt, GenEd, SpecEd","Alt, GenEd, SpecEd",13-May-10,56780,2,2985 E JEFFERSON AVE, ,DETROIT,MI,48207-4288,3-Apr-22, ,2,22-Mar-22,745411.3831,203238.388,42.33995,-83.01904,6,1,14,5166002,22000,163,Wayne,1103,0, ,-9241637.259,5212039.116
130,434,8651, ,Detroit Edison Public School Academy,7-Oct-12,26,PSA School,17-Sep-98,,Open-Active,"KG,1-8","KG,1-8",15-Nov-15,"GenEd, HealthCtr, PK, SchlChoice, SpecEd, Tuit","GenEd, HealthCtr, PK, SchlChoice, SpecEd, Tuit",3-Oct-10,57359,2,1903 WILKINS ST, ,DETROIT,MI,48207-2112,3-Apr-22, ,2,22-Mar-22,743798.984,204371.1376,42.35066,-83.03811,6,1,13,5189001,22000,163,Wayne,1103,0, ,-9243760.122,5213652.204
175,1034,3065, ,Plainwell High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,SpecEd,SchlChoice,BSAS,PCE,FaceVirt","GenEd,SpecEd,SchlChoice,PCE,FaceVirt",29-Sep-22,49852,2,684 102ND AVE, ,PLAINWELL,MI,49080-1692,3-Apr-22, ,2,22-Mar-22,528794.052,209469.5214,42.43533,-85.64861,80,26,6,321003,35720,5,Allegan,28530,0, ,-9534359.652,5226414.481
176,1051,307, ,Bessie B. Baker School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1","DevK,KG,1",6-Dec-17,"GenEd,PK,SpecEd,SchlChoice,Tuit,SuppVirt","GenEd,PK,SpecEd,SchlChoice,Tuit,SuppVirt",10-Mar-21,50046,2,507 W SYCAMORE ST, ,WAYLAND,MI,49348-1338,3-Apr-22, ,2,22-Mar-22,528613.8294,235686.3836,42.67141,-85.64934,72,26,6,305001,84880,5,Allegan,35550,0, ,-9534440.916,5262090.089
177,1068,1757, ,Hopkins High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",9-Mar-21,49872,2,333 S CLARK ST, ,HOPKINS,MI,49328-9501,3-Apr-22, ,2,22-Mar-22,519609.0025,230025.842,42.620755,-85.759448,80,26,6,306002,39200,5,Allegan,18570,0,Y,-9546698.082,5254423.893
179,1102,5859, ,Ellsworth Community School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-12","KG,1-12",25-Jan-22,"GenEd,PK,Alt,SpecEd,SchlChoice,21CCL","GenEd,PK,Alt,SpecEd,SchlChoice,21CCL",10-Nov-15,50525,2,9467 PARK ST, ,ELLSWORTH,MI,49729-9679,3-Apr-22, ,2,22-Mar-22,558973.4085,513267.1531,45.16867,-85.24751,105,37,1,9601001,5240,9,Antrim,13110,0, ,-9489709.405,5648114.326
181,1136,4444, ,Lee Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,3-Feb,3-Feb,5-Oct-08,"GenEd,Alt,SpecEd,SchlChoice,Tuit,SuppVirt","GenEd,Alt,SpecEd,SchlChoice,Tuit,SuppVirt",24-Sep-20,50176,2,840 W MAIN ST, ,MIDDLEVILLE,MI,49333-8985,3-Apr-22, ,2,22-Mar-22,542528.1023,240323.8614,42.712473,-85.47918,87,19,3,103002,79620,15,Barry,33810,0,Y,-9515498.791,5268309.206
182,1149,1553, ,Hampton Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",4-Jan-09,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",1-Sep-20,50188,2,1908 W YOUNGS DITCH RD, ,BAY CITY,MI,48708-6969,3-Apr-22, ,2,22-Mar-22,673158.2888,338815.9164,43.58018,-83.85325,96,31,5,2852012,36260,17,Bay,4260,0, ,-9334501.091,5400702.268
188,249,8626, ,North Central Academy Campus,30-Jun-12,26,PSA School,4-Aug-98,,Open-Active,"KG, 1-12","KG, 1-12",6-Jan-09,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",7-Mar-21,53111,2,5055 COREY RD, ,MANCELONA,MI,49659-9467,3-Apr-22, ,2,22-Mar-22,579563.5631,490335.0493,44.96024,-84.98916,105,37,1,9607001,15380,9,Antrim,2040,0, ,-9460950.014,5615264.258
189,266,8705, ,Grand Blanc Academy,5-Oct-08,26,PSA School,31-Aug-99,,Open-Active,"KG,1-8","KG,1-8",30-Jun-13,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",8-Sep-20,53501,2,5135 E HILL RD, ,GRAND BLANC,MI,48439-7637,3-Apr-22, ,2,22-Mar-22,695111.8034,268884.097,42.94535,-83.60647,50,14,5,112132,33300,49,Genesee,16350,0, ,-9307029.667,5303657.256
192,317,8451, ,Chatfield School,5-Oct-08,26,PSA School,1-Jun-97,,Open-Active,"KG, 1-8","KG, 1-8",15-Jan-09,"GenEd, SpecEd","GenEd, SpecEd",20-May-09,54709,2,231 LAKE DR, ,LAPEER,MI,48446-1661,3-Apr-22, ,2,22-Mar-22,716468.9211,280690.5823,43.04576,-83.34022,82,31,10,3370004,46040,87,Lapeer,21180,0, ,-9277390.853,5318939.581
194,347,8464, ,Great Lakes Academy,5-Oct-08,26,PSA School,16-Jun-97,,Open-Active,"KG,1-8","KG,1-8",20-Jul-11,"GenEd, SpecEd","GenEd, SpecEd",20-May-09,55485,2,46312 WOODWARD AVE, ,PONTIAC,MI,48342-5006,3-Apr-22, ,2,22-Mar-22,722178.8853,234819.3849,42.63129,-83.28846,29,12,14,1424003,65440,125,Oakland,28740,0, ,-9271628.956,5256017.76
195,364,8519, ,Saginaw Preparatory Academy,5-Oct-08,26,PSA School,14-Sep-97,,Open-Active,"KG, 1-8","KG, 1-8",22-Dec-08,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",14-Oct-20,55703,2,5173 LODGE ST, ,SAGINAW,MI,48601-6829,3-Apr-22, ,2,22-Mar-22,671664.4764,318282.6159,43.39572,-83.87827,95,32,5,110001,11560,145,Saginaw,6780,0, ,-9337286.305,5372399.75
197,398,8338, ,River Heights Academy,18-Aug-20,26,PSA School,27-Aug-96,,Open-Active,"KG, 1-8","KG, 1-8",18-Dec-08,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",26-Oct-20,57506,2,30100 OLMSTEAD RD, ,FLAT ROCK,MI,48134-9619,3-Apr-22, ,2,22-Mar-22,726808.4793,174619.277,42.08809,-83.2561,17,6,12,5991004,28360,163,Wayne,7080,0, ,-9268026.657,5174184.046
199,432,8637, ,Hope Academy,5-Oct-08,26,PSA School,23-Aug-98,,Open-Active,"DevK,KG,1-8","DevK,KG,1-8",9-Sep-20,"GenEd,PK,SpecEd","GenEd,PK,SpecEd",3-Sep-20,57337,2,12121 BROADSTREET AVE, ,DETROIT,MI,48204-1550,3-Apr-22, ,2,22-Mar-22,735795.3274,207225.3815,42.37885,-83.13404,5,4,13,5308003,22000,163,Wayne,1103,0, ,-9254439,5217899.361
234,1019,4959, ,AuTrain-Onota Public School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-8","KG,1-8",23-Apr-12,"GenEd, PK, SchlChoice, SpecEd","GenEd, PK, SchlChoice, SpecEd",24-Jun-13,50030,2,8790 DEERTON RD, ,DEERTON,MI,49822,3-Apr-22, ,2,22-Mar-22,419810.2968,658605.6438,46.474579,-87.042476,109,38,1,2001,60820,3,Alger,3660,0,Y,-9689524.106,5856729.751
236,1036,790, ,Cooper Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",26-May-14,"GenEd,PK,SpecEd,SchlChoice,SuppVirt","GenEd,PK,SpecEd,SchlChoice,SuppVirt",22-Sep-20,49856,2,7559 N 14TH ST, ,KALAMAZOO,MI,49009-6390,3-Apr-22, ,2,22-Mar-22,530349.6009,202234.2838,42.37011,-85.63013,66,20,6,28012,17980,77,Kalamazoo,28530,0, ,-9532302.468,5216582.373
237,1049,59, ,L.E. White Middle School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt","GenEd,SpecEd,SchlChoice,FaceVirt,SuppVirt",16-Aug-20,50040,2,3300 115TH AVE, ,ALLEGAN,MI,49010-9304,3-Apr-22, ,2,22-Mar-22,510585.47,219610.1798,42.527179,-85.869715,80,26,6,311001,1280,5,Allegan,2220,0,Y,-9558972.948,5240278.359
238,1066,8807, ,Hopkins Middle School,5-Oct-08,18,LEA School,31-Aug-00,,Open-Active,8-Jun,8-Jun,5-Oct-08,"GenEd,SpecEd,SchlChoice,SuppVirt","GenEd,SpecEd,SchlChoice,SuppVirt",9-Mar-21,49868,2,215 S CLARK ST, ,HOPKINS,MI,49328-9502,3-Apr-22, ,2,22-Mar-22,519547.7926,230212.6477,42.622439,-85.760187,80,26,6,306002,39200,5,Allegan,18570,0,Y,-9546780.347,5254678.652
239,1083,1110, ,Ella M. White Elementary,5-Jul-21,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",15-Nov-21,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",2-Sep-20,50062,2,201 N RIPLEY BLVD, ,ALPENA,MI,49707-3403,3-Apr-22, ,2,22-Mar-22,700479.5973,503454.4775,45.054461,-83.451778,106,36,1,8003,1740,7,Alpena,2730,0,Y,-9289809.433,5630099.335
